1:1	بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِيمِ	bismi lːaːhi rːaħmaːni rːaħiːm
22:78	وَجَـٰهِدُواۡ فِى ٱللَّهِ حَقَّ جِهَادِهِۦ‌ۚ هُوَ ٱجۡتَبَـٰكُمۡ وَمَا جَعَلَ عَلَيۡكُمۡ فِى ٱلدِّينِ مِنۡ حَرَجٍ‌ۚ مِّلَّةَ أَبِيكُمۡ إِبۡرٰهِيمَ‌ۚ هُوَ سَمَّـٰكُمُ ٱلۡمُسۡلِمِينَ مِن قَبۡلُ وَفِى هَـٰذَا لِيَكُونَ ٱلرَّسُولُ شَهِيدًا عَلَيۡكُمۡ وَتَكُونُواۡ شُهَدَآءَ عَلَى ٱلنَّاسِ‌ۚ فَأَقِيمُواۡ ٱلصَّلَوٰةَ وَءَاتُواۡ ٱلزَّكَوٰةَ وَٱعۡتَصِمُواۡ بِٱللَّهِ هُوَ مَوۡلَـٰكُمۡ‌ۖ فَنِعۡمَ ٱلۡمَوۡلَىٰ وَنِعۡمَ ٱلنَّصِيرُ	wad͡ʒaːhiduː fiː lːaːhi ħaqːa d͡ʒihaːdihiː huwa d͡ʒᵊtabaːkum wamaː d͡ʒaʕala ʕalajkum fiː dːiːni min ħarad͡ʒi mː̃ilːata ʔabiːkum ʔibᵊraːhiːma huwa samː̃aːkumu lmuslimiːna miⁿ qabᵊlu wafiː haːðaː lijakuːna rːasuːlu ʃahiːdan ʕalajkum watakuːnuː ʃuhadaːːʔa ʕalaː nː̃aːsi faʔaqiːmuː sˤːalaːta waʔaːtuː zːakaːta waʕtasˤimuː bilːaːhi huwa mawlaːkum faniʕma lmawlaː waniʕma nː̃asˤiːr
23:1	قَدۡ أَفۡلَحَ ٱلۡمُؤۡمِنُونَ	qadᵊ ʔaflaħa lmuʔminuːn
23:2	ٱلَّذِينَ هُمۡ فِى صَلَاتِهِمۡ خَـٰشِعُونَ	ʔalːaðiːna hum fiː sˤalaːtihim xaːʃiʕuːn
23:3	وَٱلَّذِينَ هُمۡ عَنِ ٱللَّغۡوِ مُعۡرِضُونَ	walːaðiːna hum ʕani lːaɣwi muʕridˤuːn
23:4	وَٱلَّذِينَ هُمۡ لِلزَّكَوٰةِ فَـٰعِلُونَ	walːaðiːna hum lilzːakaːti faːʕiluːn
23:5	وَٱلَّذِينَ هُمۡ لِفُرُوجِهِمۡ حَـٰفِظُونَ	walːaðiːna hum lifuruːd͡ʒihim ħaːfiðˤuːn
23:6	إِلَّا عَلَىٰٓ أَزۡوٰجِهِمۡ أَوۡ مَا مَلَكَتۡ أَيۡمَـٰنُهُمۡ فَإِنَّهُمۡ غَيۡرُ مَلُومِينَ	ʔilːaː ʕalaːː ʔazwaːd͡ʒihim ʔaw maː malakat ʔajmaːnuhum faʔinː̃ahum ɣajru maluːmiːn
23:7	فَمَنِ ٱبۡتَغَىٰ وَرَآءَ ذٰلِكَ فَأُوۡلَـٰٓئِكَ هُمُ ٱلۡعَادُونَ	famani bᵊtaɣaː waraːːʔa ðaːlika faʔulaːːʔika humu lʕaːduːn
23:8	وَٱلَّذِينَ هُمۡ لِأَمَـٰنَـٰتِهِمۡ وَعَهۡدِهِمۡ رٰعُونَ	walːaðiːna hum liʔamaːnaːtihim waʕahdihim raːʕuːn
23:9	وَٱلَّذِينَ هُمۡ عَلَىٰ صَلَوٰتِهِمۡ يُحَافِظُونَ	walːaðiːna hum ʕalaː sˤalawaːtihim juħaːfiðˤuːn
23:10	أُوۡلَـٰٓئِكَ هُمُ ٱلۡوٰرِثُونَ	ʔulaːːʔika humu lwaːriθuːn
23:11	ٱلَّذِينَ يَرِثُونَ ٱلۡفِرۡدَوۡسَ هُمۡ فِيهَا خَـٰلِدُونَ	ʔalːaðiːna jariθuːna lfirdawsa hum fiːhaː xaːliduːn
23:12	وَلَقَدۡ خَلَقۡنَا ٱلۡإِنسَـٰنَ مِن سُلَـٰلَةٍ مِّن طِينٍ	walaqadᵊ xalaqᵊnaː lʔiⁿsaːna miⁿ sulaːlati mː̃iⁿ tˤiːn
23:13	ثُمَّ جَعَلۡنَـٰهُ نُطۡفَةً فِى قَرَارٍ مَّكِينٍ	θumː̃a d͡ʒaʕalnaːhu nutˤᵊfataⁿ fiː qaraːri mː̃akiːn
23:14	ثُمَّ خَلَقۡنَا ٱلنُّطۡفَةَ عَلَقَةً فَخَلَقۡنَا ٱلۡعَلَقَةَ مُضۡغَةً فَخَلَقۡنَا ٱلۡمُضۡغَةَ عِظَـٰمًا فَكَسَوۡنَا ٱلۡعِظَـٰمَ لَحۡمًا ثُمَّ أَنشَأۡنَـٰهُ خَلۡقًا ءَاخَرَ‌ۚ فَتَبَارَكَ ٱللَّهُ أَحۡسَنُ ٱلۡخَـٰلِقِينَ	θumː̃a xalaqᵊnaː nː̃utˤᵊfata ʕalaqataⁿ faxalaqᵊnaː lʕalaqata mudˤɣataⁿ faxalaqᵊnaː lmudˤɣata ʕiðˤaːmaⁿ fakasawnaː lʕiðˤaːma laħmaⁿ θumː̃a ʔaⁿʃaʔnaːhu xalqan ʔaːxara fatabaːraka lːaːhu ʔaħsanu lxaːliqiːn
23:15	ثُمَّ إِنَّكُم بَعۡدَ ذٰلِكَ لَمَيِّتُونَ	θumː̃a ʔinː̃akuᵐ baʕda ðaːlika lamajːituːn
23:16	ثُمَّ إِنَّكُمۡ يَوۡمَ ٱلۡقِيَـٰمَةِ تُبۡعَثُونَ	θumː̃a ʔinː̃akum jawma lqijaːmati tubᵊʕaθuːn
23:17	وَلَقَدۡ خَلَقۡنَا فَوۡقَكُمۡ سَبۡعَ طَرَآئِقَ وَمَا كُنَّا عَنِ ٱلۡخَلۡقِ غَـٰفِلِينَ	walaqadᵊ xalaqᵊnaː fawqakum sabᵊʕa tˤaraːːʔiqa wamaː kunː̃aː ʕani lxalqi ɣaːfiliːn
23:18	وَأَنزَلۡنَا مِنَ ٱلسَّمَآءِ مَآءَۢ بِقَدَرٍ فَأَسۡكَنَّـٰهُ فِى ٱلۡأَرۡضِ‌ۖ وَإِنَّا عَلَىٰ ذَهَابِۭ بِهِۦ لَقَـٰدِرُونَ	waʔaⁿzalnaː mina sːamaːːʔi maːːʔaᵐ biqadariⁿ faʔaskanː̃aːhu fiː lʔardˤi waʔinː̃aː ʕalaː ðahaːbiᵐ bihiː laqaːdiruːn
23:19	فَأَنشَأۡنَا لَكُم بِهِۦ جَنَّـٰتٍ مِّن نَّخِيلٍ وَأَعۡنَـٰبٍ لَّكُمۡ فِيهَا فَوٰكِهُ كَثِيرَةٌ وَمِنۡهَا تَأۡكُلُونَ	faʔaⁿʃaʔnaː lakuᵐ bihiː d͡ʒanː̃aːti mː̃i nː̃axiːli w̃ːaʔaʕnaːbi lːakum fiːhaː fawaːkihu kaθiːratu w̃ːaminhaː taʔkuluːn
23:20	وَشَجَرَةً تَخۡرُجُ مِن طُورِ سَيۡنَآءَ تَنۢبُتُ بِٱلدُّهۡنِ وَصِبۡغٍ لِّلۡأَكِلِينَ	waʃad͡ʒarataⁿ taxrud͡ʒu miⁿ tˤuːri sajnaːːʔa taᵐbutu bidːuhni wasˤibᵊɣi lːilʔakiliːn
23:21	وَإِنَّ لَكُمۡ فِى ٱلۡأَنۡعَـٰمِ لَعِبۡرَةً‌ۖ نُّسۡقِيكُم مِّمَّا فِى بُطُونِهَا وَلَكُمۡ فِيهَا مَنَـٰفِعُ كَثِيرَةٌ وَمِنۡهَا تَأۡكُلُونَ	waʔinː̃a lakum fiː lʔanʕaːmi laʕibᵊrata nː̃usqiːku mː̃imː̃aː fiː butˤuːnihaː walakum fiːhaː manaːfiʕu kaθiːratu w̃ːaminhaː taʔkuluːn
23:22	وَعَلَيۡهَا وَعَلَى ٱلۡفُلۡكِ تُحۡمَلُونَ	waʕalajhaː waʕalaː lfulki tuħmaluːn
23:23	وَلَقَدۡ أَرۡسَلۡنَا نُوحًا إِلَىٰ قَوۡمِهِۦ فَقَالَ يَـٰقَوۡمِ ٱعۡبُدُواۡ ٱللَّهَ مَا لَكُم مِّنۡ إِلَـٰهٍ غَيۡرُهُۥٓ‌ۖ أَفَلَا تَتَّقُونَ	walaqadᵊ ʔarsalnaː nuːħan ʔilaː qawmihiː faqaːla jaːqawmi ʕbuduː lːaːha maː laku mː̃in ʔilaːhin ɣajruhuːː ʔafalaː tatːaquːn
23:24	فَقَالَ ٱلۡمَلَؤُاۡ ٱلَّذِينَ كَفَرُواۡ مِن قَوۡمِهِۦ مَا هَـٰذَآ إِلَّا بَشَرٌ مِّثۡلُكُمۡ يُرِيدُ أَن يَتَفَضَّلَ عَلَيۡكُمۡ وَلَوۡ شَآءَ ٱللَّهُ لَأَنزَلَ مَلَـٰٓئِكَةً مَّا سَمِعۡنَا بِهَـٰذَا فِىٓ ءَابَآئِنَا ٱلۡأَوَّلِينَ	faqaːla lmalaʔu lːaðiːna kafaruː miⁿ qawmihiː maː haːðaːː ʔilːaː baʃaru mː̃iθlukum juriːdu ʔa j̃ːatafadˤːala ʕalajkum walaw ʃaːːʔa lːaːhu laʔaⁿzala malaːːʔikata mː̃aː samiʕnaː bihaːðaː fiːː ʔaːbaːːʔinaː lʔawːaliːn
23:25	إِنۡ هُوَ إِلَّا رَجُلُۢ بِهِۦ جِنَّةٌ فَتَرَبَّصُواۡ بِهِۦ حَتَّىٰ حِينٍ	ʔin huwa ʔilːaː rad͡ʒuluᵐ bihiː d͡ʒinː̃atuⁿ fatarabːasˤuː bihiː ħatːaː ħiːn
23:26	قَالَ رَبِّ ٱنصُرۡنِى بِمَا كَذَّبُونِ	qaːla rabːi ⁿsˤurniː bimaː kaðːabuːn
23:27	فَأَوۡحَيۡنَآ إِلَيۡهِ أَنِ ٱصۡنَعِ ٱلۡفُلۡكَ بِأَعۡيُنِنَا وَوَحۡيِنَا فَإِذَا جَآءَ أَمۡرُنَا وَفَارَ ٱلتَّنُّورُ‌ۙ فَٱسۡلُكۡ فِيهَا مِن كُلٍّ زَوۡجَيۡنِ ٱثۡنَيۡنِ وَأَهۡلَكَ إِلَّا مَن سَبَقَ عَلَيۡهِ ٱلۡقَوۡلُ مِنۡهُمۡ‌ۖ وَلَا تُخَـٰطِبۡنِى فِى ٱلَّذِينَ ظَلَمُوٓاۡ‌ۖ إِنَّهُم مُّغۡرَقُونَ	faʔawħajnaːː ʔilajhi ʔani sˤnaʕi lfulka biʔaʕjuninaː wawaħjinaː faʔiðaː d͡ʒaːːʔa ʔamrunaː wafaːra tːanː̃uːru fasluk fiːhaː miⁿ kulːiⁿ zawd͡ʒajni θnajni waʔahlaka ʔilːaː maⁿ sabaqa ʕalajhi lqawlu minhum walaː tuxaːtˤibᵊniː fiː lːaðiːna ðˤalamuːː ʔinː̃ahu mː̃uɣraquːn
23:28	فَإِذَا ٱسۡتَوَيۡتَ أَنتَ وَمَن مَّعَكَ عَلَى ٱلۡفُلۡكِ فَقُلِ ٱلۡحَمۡدُ لِلَّهِ ٱلَّذِى نَجَّـٰنَا مِنَ ٱلۡقَوۡمِ ٱلظَّـٰلِمِينَ	faʔiðaː stawajta ʔaⁿta wama mː̃aʕaka ʕalaː lfulki faquli lħamdu lilːaːhi lːaðiː nad͡ʒːaːnaː mina lqawmi ðˤːaːlimiːn
23:29	وَقُل رَّبِّ أَنزِلۡنِى مُنزَلاً مُّبَارَكًا وَأَنتَ خَيۡرُ ٱلۡمُنزِلِينَ	waqu rːabːi ʔaⁿzilniː muⁿzala mː̃ubaːraka w̃ːaʔaⁿta xajru lmuⁿziliːn
23:30	إِنَّ فِى ذٰلِكَ لَأَيَـٰتٍ وَإِن كُنَّا لَمُبۡتَلِينَ	ʔinː̃a fiː ðaːlika laʔajaːti w̃ːaʔiⁿ kunː̃aː lamubᵊtaliːn
23:31	ثُمَّ أَنشَأۡنَا مِنۢ بَعۡدِهِمۡ قَرۡنًا ءَاخَرِينَ	θumː̃a ʔaⁿʃaʔnaː miᵐ baʕdihim qarnan ʔaːxariːn
23:32	فَأَرۡسَلۡنَا فِيهِمۡ رَسُولاً مِّنۡهُمۡ أَنِ ٱعۡبُدُواۡ ٱللَّهَ مَا لَكُم مِّنۡ إِلَـٰهٍ غَيۡرُهُۥٓ‌ۖ أَفَلَا تَتَّقُونَ	faʔarsalnaː fiːhim rasuːla mː̃inhum ʔani ʕbuduː lːaːha maː laku mː̃in ʔilaːhin ɣajruhuːː ʔafalaː tatːaquːn
23:33	وَقَالَ ٱلۡمَلَأُ مِن قَوۡمِهِ ٱلَّذِينَ كَفَرُواۡ وَكَذَّبُواۡ بِلِقَآءِ ٱلۡأَخِرَةِ وَأَتۡرَفۡنَـٰهُمۡ فِى ٱلۡحَيَوٰةِ ٱلدُّنۡيَا مَا هَـٰذَآ إِلَّا بَشَرٌ مِّثۡلُكُمۡ يَأۡكُلُ مِمَّا تَأۡكُلُونَ مِنۡهُ وَيَشۡرَبُ مِمَّا تَشۡرَبُونَ	waqaːla lmalaʔu miⁿ qawmihi lːaðiːna kafaruː wakaðːabuː biliqaːːʔi lʔaxirati waʔatrafnaːhum fiː lħajaːti dːunjaː maː haːðaːː ʔilːaː baʃaru mː̃iθlukum jaʔkulu mimː̃aː taʔkuluːna minhu wajaʃrabu mimː̃aː taʃrabuːn
23:34	وَلَئِنۡ أَطَعۡتُم بَشَرًا مِّثۡلَكُمۡ إِنَّكُمۡ إِذًا لَّخَـٰسِرُونَ	walaʔin ʔatˤaʕtuᵐ baʃara mː̃iθlakum ʔinː̃akum ʔiða lːaxaːsiruːn
23:35	أَيَعِدُكُمۡ أَنَّكُمۡ إِذَا مِتُّمۡ وَكُنتُمۡ تُرَابًا وَعِظَـٰمًا أَنَّكُم مُّخۡرَجُونَ	ʔajaʕidukum ʔanː̃akum ʔiðaː mitːum wakuⁿtum turaːba w̃ːaʕiðˤaːman ʔanː̃aku mː̃uxrad͡ʒuːn
23:36	۞هَيۡهَاتَ هَيۡهَاتَ لِمَا تُوعَدُونَ	hajhaːta hajhaːta limaː tuːʕaduːn
23:37	إِنۡ هِىَ إِلَّا حَيَاتُنَا ٱلدُّنۡيَا نَمُوتُ وَنَحۡيَا وَمَا نَحۡنُ بِمَبۡعُوثِينَ	ʔin hija ʔilːaː ħajaːtunaː dːunjaː namuːtu wanaħjaː wamaː naħnu bimabᵊʕuːθiːn
23:38	إِنۡ هُوَ إِلَّا رَجُلٌ ٱفۡتَرَىٰ عَلَى ٱللَّهِ كَذِبًا وَمَا نَحۡنُ لَهُۥ بِمُؤۡمِنِينَ	ʔin huwa ʔilːaː rad͡ʒulun ftaraː ʕalaː lːaːhi kaðiba w̃ːamaː naħnu lahuː bimuʔminiːn
23:39	قَالَ رَبِّ ٱنصُرۡنِى بِمَا كَذَّبُونِ	qaːla rabːi ⁿsˤurniː bimaː kaðːabuːn
23:40	قَالَ عَمَّا قَلِيلٍ لَّيُصۡبِحُنَّ نَـٰدِمِينَ	qaːla ʕamː̃aː qaliːli lːajusˤbiħunː̃a naːdimiːn
23:41	فَأَخَذَتۡهُمُ ٱلصَّيۡحَةُ بِٱلۡحَقِّ فَجَعَلۡنَـٰهُمۡ غُثَآءً‌ۚ فَبُعۡدًا لِّلۡقَوۡمِ ٱلظَّـٰلِمِينَ	faʔaxaðathumu sˤːajħatu bilħaqːi fad͡ʒaʕalnaːhum ɣuθaːːʔaⁿ fabuʕda lːilqawmi ðˤːaːlimiːn
23:42	ثُمَّ أَنشَأۡنَا مِنۢ بَعۡدِهِمۡ قُرُونًا ءَاخَرِينَ	θumː̃a ʔaⁿʃaʔnaː miᵐ baʕdihim quruːnan ʔaːxariːn
23:43	مَا تَسۡبِقُ مِنۡ أُمَّةٍ أَجَلَهَا وَمَا يَسۡتَــٔۡخِرُونَ	maː tasbiqu min ʔumː̃atin ʔad͡ʒalahaː wamaː jastaʔxiruːn
23:44	ثُمَّ أَرۡسَلۡنَا رُسُلَنَا تَتۡرَا‌ۖ كُلَّ مَا جَآءَ أُمَّةً رَّسُولُهَا كَذَّبُوهُ‌ۚ فَأَتۡبَعۡنَا بَعۡضَهُم بَعۡضًا وَجَعَلۡنَـٰهُمۡ أَحَادِيثَ‌ۚ فَبُعۡدًا لِّقَوۡمٍ لَّا يُؤۡمِنُونَ	θumː̃a ʔarsalnaː rusulanaː tatraː kulːa maː d͡ʒaːːʔa ʔumː̃ata rːasuːluhaː kaðːabuːhu faʔatbaʕnaː baʕdˤahuᵐ baʕdˤa w̃ːad͡ʒaʕalnaːhum ʔaħaːdiːθa fabuʕda lːiqawmi lːaː juʔminuːn
23:45	ثُمَّ أَرۡسَلۡنَا مُوسَىٰ وَأَخَاهُ هَـٰرُونَ بِـَٔـايَـٰتِنَا وَسُلۡطَـٰنٍ مُّبِينٍ	θumː̃a ʔarsalnaː muːsaː waʔaxaːhu haːruːna biʔaːjaːtinaː wasultˤaːni mː̃ubiːn
23:46	إِلَىٰ فِرۡعَوۡنَ وَمَلَإِيۡهِۦ فَٱسۡتَكۡبَرُواۡ وَكَانُواۡ قَوۡمًا عَالِينَ	ʔilaː firʕawna wamalaʔihiː fastakbaruː wakaːnuː qawman ʕaːliːn
23:47	فَقَالُوٓاۡ أَنُؤۡمِنُ لِبَشَرَيۡنِ مِثۡلِنَا وَقَوۡمُهُمَا لَنَا عَـٰبِدُونَ	faqaːluːː ʔanuʔminu libaʃarajni miθlinaː waqawmuhumaː lanaː ʕaːbiduːn
23:48	فَكَذَّبُوهُمَا فَكَانُواۡ مِنَ ٱلۡمُهۡلَكِينَ	fakaðːabuːhumaː fakaːnuː mina lmuhlakiːn
23:49	وَلَقَدۡ ءَاتَيۡنَا مُوسَى ٱلۡكِتَـٰبَ لَعَلَّهُمۡ يَهۡتَدُونَ	walaqadᵊ ʔaːtajnaː muːsaː lkitaːba laʕalːahum jahtaduːn
23:50	وَجَعَلۡنَا ٱبۡنَ مَرۡيَمَ وَأُمَّهُۥٓ ءَايَةً وَءَاوَيۡنَـٰهُمَآ إِلَىٰ رَبۡوَةٍ ذَاتِ قَرَارٍ وَمَعِينٍ	wad͡ʒaʕalnaː bᵊna marjama waʔumː̃ahuːː ʔaːjata w̃ːaʔaːwajnaːhumaːː ʔilaː rabᵊwatiⁿ ðaːti qaraːri w̃ːamaʕiːn
23:51	يَـٰٓأَيُّهَا ٱلرُّسُلُ كُلُواۡ مِنَ ٱلطَّيِّبَـٰتِ وَٱعۡمَلُواۡ صَـٰلِحًا‌ۖ إِنِّى بِمَا تَعۡمَلُونَ عَلِيمٌ	jaːːʔajːuhaː rːusulu kuluː mina tˤːajːibaːti waʕmaluː sˤaːliħan ʔinː̃iː bimaː taʕmaluːna ʕaliːm
23:52	وَإِنَّ هَـٰذِهِۦٓ أُمَّتُكُمۡ أُمَّةً وٰحِدَةً وَأَنَاۡ رَبُّكُمۡ فَٱتَّقُونِ	waʔinː̃a haːðihiːː ʔumː̃atukum ʔumː̃ata aːħ̃ːidata w̃ːaʔanaː rabːukum fatːaquːn
23:53	فَتَقَطَّعُوٓاۡ أَمۡرَهُم بَيۡنَهُمۡ زُبُرًا‌ۖ كُلُّ حِزۡبِۭ بِمَا لَدَيۡهِمۡ فَرِحُونَ	fataqatˤːaʕuːː ʔamrahuᵐ bajnahum zuburaⁿ kulːu ħizbiᵐ bimaː ladajhim fariħuːn
23:54	فَذَرۡهُمۡ فِى غَمۡرَتِهِمۡ حَتَّىٰ حِينٍ	faðarhum fiː ɣamratihim ħatːaː ħiːn
23:55	أَيَحۡسَبُونَ أَنَّمَا نُمِدُّهُم بِهِۦ مِن مَّالٍ وَبَنِينَ	ʔajaħsabuːna ʔanː̃amaː numidːuhuᵐ bihiː mi mː̃aːli w̃ːabaniːn
23:56	نُسَارِعُ لَهُمۡ فِى ٱلۡخَيۡرٰتِ‌ۚ بَل لَّا يَشۡعُرُونَ	nusaːriʕu lahum fiː lxajraːti ba lːaː jaʃʕuruːn
23:57	إِنَّ ٱلَّذِينَ هُم مِّنۡ خَشۡيَةِ رَبِّهِم مُّشۡفِقُونَ	ʔinː̃a lːaðiːna hu mː̃in xaʃjati rabːihi mː̃uʃfiquːn
23:58	وَٱلَّذِينَ هُم بِـَٔـايَـٰتِ رَبِّهِمۡ يُؤۡمِنُونَ	walːaðiːna huᵐ biʔaːjaːti rabːihim juʔminuːn
23:59	وَٱلَّذِينَ هُم بِرَبِّهِمۡ لَا يُشۡرِكُونَ	walːaðiːna huᵐ birabːihim laː juʃrikuːn
23:60	وَٱلَّذِينَ يُؤۡتُونَ مَآ ءَاتَواۡ وَّقُلُوبُهُمۡ وَجِلَةٌ أَنَّهُمۡ إِلَىٰ رَبِّهِمۡ رٰجِعُونَ	walːaðiːna juʔtuːna maːː ʔaːta wːaquluːbuhum wad͡ʒilatun ʔanː̃ahum ʔilaː rabːihim raːd͡ʒiʕuːn
23:61	أُوۡلَـٰٓئِكَ يُسَـٰرِعُونَ فِى ٱلۡخَيۡرٰتِ وَهُمۡ لَهَا سَـٰبِقُونَ	ʔulaːːʔika jusaːriʕuːna fiː lxajraːti wahum lahaː saːbiquːn
23:62	وَلَا نُكَلِّفُ نَفۡسًا إِلَّا وُسۡعَهَا‌ۖ وَلَدَيۡنَا كِتَـٰبٌ يَنطِقُ بِٱلۡحَقِّ‌ۚ وَهُمۡ لَا يُظۡلَمُونَ	walaː nukalːifu nafsan ʔilːaː wusʕahaː waladajnaː kitaːbu j̃ːaⁿtˤiqu bilħaqːi wahum laː juðˤlamuːn
23:63	بَلۡ قُلُوبُهُمۡ فِى غَمۡرَةٍ مِّنۡ هَـٰذَا وَلَهُمۡ أَعۡمَـٰلٌ مِّن دُونِ ذٰلِكَ هُمۡ لَهَا عَـٰمِلُونَ	bal quluːbuhum fiː ɣamrati mː̃in haːðaː walahum ʔaʕmaːlu mː̃iⁿ duːni ðaːlika hum lahaː ʕaːmiluːn
23:64	حَتَّىٰٓ إِذَآ أَخَذۡنَا مُتۡرَفِيهِم بِٱلۡعَذَابِ إِذَا هُمۡ يَجۡــَٔرُونَ	ħatːaːː ʔiðaːː ʔaxaðnaː mutrafiːhiᵐ bilʕaðaːbi ʔiðaː hum jad͡ʒᵊʔaruːn
23:65	لَا تَجۡــَٔرُواۡ ٱلۡيَوۡمَ‌ۖ إِنَّكُم مِّنَّا لَا تُنصَرُونَ	laː tad͡ʒᵊʔaruː ljawma ʔinː̃aku mː̃inː̃aː laː tuⁿsˤaruːn
23:66	قَدۡ كَانَتۡ ءَايَـٰتِى تُتۡلَىٰ عَلَيۡكُمۡ فَكُنتُمۡ عَلَىٰٓ أَعۡقَـٰبِكُمۡ تَنكِصُونَ	qadᵊ kaːnat ʔaːjaːtiː tutlaː ʕalajkum fakuⁿtum ʕalaːː ʔaʕqaːbikum taⁿkisˤuːn
23:67	مُسۡتَكۡبِرِينَ بِهِۦ سَـٰمِرًا تَهۡجُرُونَ	mustakbiriːna bihiː saːmiraⁿ tahd͡ʒuruːn
23:68	أَفَلَمۡ يَدَّبَّرُواۡ ٱلۡقَوۡلَ أَمۡ جَآءَهُم مَّا لَمۡ يَأۡتِ ءَابَآءَهُمُ ٱلۡأَوَّلِينَ	ʔafalam jadːabːaruː lqawla ʔam d͡ʒaːːʔahu mː̃aː lam jaʔti ʔaːbaːːʔahumu lʔawːaliːn
23:69	أَمۡ لَمۡ يَعۡرِفُواۡ رَسُولَهُمۡ فَهُمۡ لَهُۥ مُنكِرُونَ	ʔam lam jaʕrifuː rasuːlahum fahum lahuː muⁿkiruːn
23:70	أَمۡ يَقُولُونَ بِهِۦ جِنَّةُۢ‌ۚ بَلۡ جَآءَهُم بِٱلۡحَقِّ وَأَكۡثَرُهُمۡ لِلۡحَقِّ كَـٰرِهُونَ	ʔam jaquːluːna bihiː d͡ʒinː̃atuᵐ bal d͡ʒaːːʔahuᵐ bilħaqːi waʔakθaruhum lilħaqːi kaːrihuːn
23:71	وَلَوِ ٱتَّبَعَ ٱلۡحَقُّ أَهۡوَآءَهُمۡ لَفَسَدَتِ ٱلسَّمَـٰوٰتُ وَٱلۡأَرۡضُ وَمَن فِيهِنَّ‌ۚ بَلۡ أَتَيۡنَـٰهُم بِذِكۡرِهِمۡ فَهُمۡ عَن ذِكۡرِهِم مُّعۡرِضُونَ	walawi tːabaʕa lħaqːu ʔahwaːːʔahum lafasadati sːamaːwaːtu walʔardˤu wamaⁿ fiːhinː̃a bal ʔatajnaːhuᵐ biðikrihim fahum ʕaⁿ ðikrihi mː̃uʕridˤuːn
23:72	أَمۡ تَسۡــَٔلُهُمۡ خَرۡجًا فَخَرَاجُ رَبِّكَ خَيۡرٌ‌ۖ وَهُوَ خَيۡرُ ٱلرّٰزِقِينَ	ʔam tasʔaluhum xard͡ʒaⁿ faxaraːd͡ʒu rabːika xajru w̃ːahuwa xajru rːaːziqiːn
23:73	وَإِنَّكَ لَتَدۡعُوهُمۡ إِلَىٰ صِرٰطٍ مُّسۡتَقِيمٍ	waʔinː̃aka latadᵊʕuːhum ʔilaː sˤiraːtˤi mː̃ustaqiːm
23:74	وَإِنَّ ٱلَّذِينَ لَا يُؤۡمِنُونَ بِٱلۡأَخِرَةِ عَنِ ٱلصِّرٰطِ لَنَـٰكِبُونَ	waʔinː̃a lːaðiːna laː juʔminuːna bilʔaxirati ʕani sˤːiraːtˤi lanaːkibuːn
23:75	۞وَلَوۡ رَحِمۡنَـٰهُمۡ وَكَشَفۡنَا مَا بِهِم مِّن ضُرٍّ لَّلَجُّواۡ فِى طُغۡيَـٰنِهِمۡ يَعۡمَهُونَ	walaw raħimnaːhum wakaʃafnaː maː bihi mː̃iⁿ dˤurːi lːalad͡ʒːuː fiː tˤuɣjaːnihim jaʕmahuːn
23:76	وَلَقَدۡ أَخَذۡنَـٰهُم بِٱلۡعَذَابِ فَمَا ٱسۡتَكَانُواۡ لِرَبِّهِمۡ وَمَا يَتَضَرَّعُونَ	walaqadᵊ ʔaxaðnaːhuᵐ bilʕaðaːbi famaː stakaːnuː lirabːihim wamaː jatadˤarːaʕuːn
23:77	حَتَّىٰٓ إِذَا فَتَحۡنَا عَلَيۡهِم بَابًا ذَا عَذَابٍ شَدِيدٍ إِذَا هُمۡ فِيهِ مُبۡلِسُونَ	ħatːaːː ʔiðaː fataħnaː ʕalajhiᵐ baːbaⁿ ðaː ʕaðaːbiⁿ ʃadiːdin ʔiðaː hum fiːhi mubᵊlisuːn
23:78	وَهُوَ ٱلَّذِىٓ أَنشَأَ لَكُمُ ٱلسَّمۡعَ وَٱلۡأَبۡصَـٰرَ وَٱلۡأَفۡــِٔدَةَ‌ۚ قَلِيلاً مَّا تَشۡكُرُونَ	wahuwa lːaðiːː ʔaⁿʃaʔa lakumu sːamʕa walʔabᵊsˤaːra walʔafʔidata qaliːla mː̃aː taʃkuruːn
23:79	وَهُوَ ٱلَّذِى ذَرَأَكُمۡ فِى ٱلۡأَرۡضِ وَإِلَيۡهِ تُحۡشَرُونَ	wahuwa lːaðiː ðaraʔakum fiː lʔardˤi waʔilajhi tuħʃaruːn
23:80	وَهُوَ ٱلَّذِى يُحۡىِۦ وَيُمِيتُ وَلَهُ ٱخۡتِلَـٰفُ ٱلَّيۡلِ وَٱلنَّهَارِ‌ۚ أَفَلَا تَعۡقِلُونَ	wahuwa lːaðiː juħjiː wajumiːtu walahu xtilaːfu lːajli wanː̃ahaːri ʔafalaː taʕqiluːn
23:81	بَلۡ قَالُواۡ مِثۡلَ مَا قَالَ ٱلۡأَوَّلُونَ	bal qaːluː miθla maː qaːla lʔawːaluːn
